ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Contactset_ID,Respondent
set32-DTR03_DTR03-9,set32-F,DTR03_DTR03-9,No,DTR03_DTR03-9-no,[See above],,set32,Hannah Haynie
set33-DTR03_DTR03-9,set33-F,DTR03_DTR03-9,No,DTR03_DTR03-9-no,[See above],,set33,Anna Berge
set34-DTR03_DTR03-9,set34-F,DTR03_DTR03-9,?,,,,set34,Erika Sandman
set01-DTR06,set01-F,DTR06,This is highly contextual,DTR06-4,,,set01,Hank Nater
set02-DTR06,set02-F,DTR06,This is highly contextual,DTR06-4,,,set02,Mathias Jenny
set03-DTR06,set03-F,DTR06,This is highly contextual,DTR06-4,,,set03,Yvonne Treis & Deginet Wotango Doyiso
set04-DTR06,set04-F,DTR06,B,DTR06-B,We cannot answer this question since notions of 'belonging' here are not really relevant. There is no particular social group associated with the location or locations.,,set04,Hannah Gibson & Maarten Mous
set05-DTR06,set05-F,DTR06,This is highly contextual,DTR06-4,Any of the above.,,set05,Ellen Smith-Dennis
set06a-DTR06,set06a-F,DTR06,At places which belong to the [q2o1answer],DTR06-1,Importation from Sicily is much stronger than export from Malta to Sicily.,,set06a,Joseph M Brincat
set07-DTR06,set07-F,DTR06,This is highly contextual,DTR06-4,,,set07,Admire Phiri
set08-DTR06,set08-F,DTR06,This is highly contextual,DTR06-4,"Up until the 1970s or so, individual men with trading partners in the other language group traded at either their own or their partner’s village. Since the 1970s this type of trade has declined in importance. Trading today is still actively done by women in groups at traditional market sites scattered around the edges of the Washkuk Hills. Trade also takes place at modern markets at Ambunti township, where goods are sold for cash, rather than exchanged for goods of equivalent value. ",,set08,Ross Bowden
set09-DTR06,set09-F,DTR06,At places which belong to the [q2o2answer],DTR06-2,"The market in Tabelbala itself is located in the 20th century new town centre, an Arabic-speaking zone; all other markets speakers are likely to visit when travelling are in Arabic-speaking towns.",,set09,Lameen Souag
set10-DTR06,set10-F,DTR06,This is highly contextual,DTR06-4,"In rural settings, many markets are situated inside the Focus area. In urban settings, markets are multiethnic.",,set10,Anonymous
set11-DTR06,set11-F,DTR06,This is highly contextual,DTR06-4,"I am not aware of any regularly occurring encounters between Baïnounk Gubëeher and Mandinka. Such encounters would occur on an individual basis for individuals who have Mandinka speakers as friends or family, or who live in parts of town with a large Mandinka proportion (in Ziguinchor or Dakar). In Djibonker there are to my knowledge no Mandinka speakers living there, at least not during the time I spent there. The markets in Ziguinchor could be a possible meeting place.",,set11,Alexander Cobbinah
set12-DTR06,set12-F,DTR06,This is highly contextual,DTR06-4,"It is contextual. In Dersim at places which belong to the Zaza, In Istanbul at places which belong to the Turkish",,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set13-DTR06,set13-F,DTR06,At places which belong to the [q2o1answer],DTR06-1,most trade is a result of Hewa traders traveling to Ipili areas,,set13,Jerry K. Jacka
set14-DTR06,set14-F,DTR06,This is highly contextual,DTR06-4,"While traveling, many people go to the Yuhup settlements to obtain fish or meat. The Yuhup may go to the Macuna settlements for trade, but also to other peoples settlements or even to town.",,set14,Ana María Ospina Bozzi
set15-DTR06,set15-F,DTR06,This is highly contextual,DTR06-4,,,set15,Bruno Olsson
set16-DTR06,set16-F,DTR06,At places which belong to the [q2o2answer],DTR06-2,"Apart from the monthly lorry (see question 5), which enters the village of Santa Ana de Chipaya, trade with the Aymara occurs usually outside the Chipaya community and at a place that belongs to the Aymara people, such as Oruro or La Paz (or one of the smaller and neighbouring Aymara settlements).",,set16,Katja Hannß
set17-DTR06,set17-F,DTR06,At places which belong to the [q2o2answer],DTR06-2,,,set17,Rosnátaly Avelino
set18-DTR06,set18-F,DTR06,This is highly contextual,DTR06-4,"Trade was often associated with ceremonies, in which case it would have taken place on the land of both Kunbarlang and Mawng people at various times.",,set18,Ruth Singer
set19-DTR06,set19-F,DTR06,At places which belong to the [q2o1answer],DTR06-1,"One of the biggest and oldest market takes place in the Alorese village of Alor Kecil. In 2016, the market was held every Tuesday and Friday.",,set19,Francesca Moro & Yunus Sulistyono
set20-DTR06,set20-F,DTR06,At places which belong to the [q2o2answer],DTR06-2,Generally trade takes place in the vicinity of the Bengali settlement,,set20,Arun Ghosh
set21-DTR06,set21-F,DTR06,At places which belong to the [q2o2answer],DTR06-2,,,set21,Georg Ziegelmeyer
set22-DTR06,set22-F,DTR06,This is highly contextual,DTR06-4,"Can be either, in Tai Lue villages or larger towns, or in Muak Sa-aak villages",,set22,Elizabeth Hall
set23-DTR06,set23-F,DTR06,At places which belong to the [q2o1answer],DTR06-1,,,set23,Veronika Zikmundová & Kicengge (Chengzhi)
set24-DTR06,set24-F,DTR06,At places which belong to the [q2o2answer],DTR06-2,,,set24,Cristina Messineo & Paola Cúneo & Agustina Paredes & Nicolás Brid & Ana Blanco
set25-DTR06,set25-F,DTR06,This is highly contextual,DTR06-4,,,set25,María Belén Carpio & Marcela Mendoza
set27-DTR06,set27-F,DTR06,At places which belong to the [q2o2answer],DTR06-2,,,set27,Dineke Schokkin
set28-DTR06,set28-F,DTR06,?,,,,set28,Eri Kashima & Dineke Schokkin
set29-DTR06,set29-F,DTR06,This is highly contextual,DTR06-4,I don't know of any special locations for trade. As far as I can tell this occurred at places belonging to both groups and on land belonging to other groups.,,set29,Jill Vaughan
set30-DTR06,set30-F,DTR06,This is highly contextual,DTR06-4,,,set30,Richard Kowalik
set31-DTR06,set31-F,DTR06,This is highly contextual,DTR06-4,,,set31,Sonal Kulkarni-Joshi
set32-DTR06,set32-F,DTR06,This is highly contextual,DTR06-4,"The Yurok town of Wechpus (Weitchpec) was located near the confluence of the Klamath and Trinity Rivers and likely served as a center for trade. However, it is likely that trade locations were somewhat context dependent. Buckley (1982) notes that Yurok traders considered travel to be desirable and traveled relatively long distances (e.g. to southern Oregon) for trade. It is likely that some trade was very local, using middlemen to move goods through sequences of proximal locations and other trade involved longer distance travel, meaning that trade was likely to have been conducted both in Yurok locations and in Karuk locations (and elsewhere).",,set32,Hannah Haynie
set33-DTR06,set33-F,DTR06,This is highly contextual,DTR06-4,"Not sure this is the right response to pick, but formal trade happened through an intermediary (but a member of the respective groups) and was very formalized.",,set33,Anna Berge
set34-DTR06,set34-F,DTR06,?,,,,set34,Erika Sandman
set01-DTR08,set01-F,DTR08,Some other language,DTR08-3,,,set01,Hank Nater
set02-DTR08,set02-F,DTR08,The [q2o1answer] language,DTR08-1,,,set02,Mathias Jenny
set03-DTR08,set03-F,DTR08,Some other language,DTR08-3,,,set03,Yvonne Treis & Deginet Wotango Doyiso
set04-DTR08,set04-F,DTR08,This is highly contextual,DTR08-4,Rangi or Swahili,,set04,Hannah Gibson & Maarten Mous
set05-DTR08,set05-F,DTR08,The [q2o2answer] language,DTR08-2,"Rotokas between the late-19th century and early 20th century, then after that either Rotokas or Tok Pisin. These days Tok Pisin is the most common lingua franca.",,set05,Ellen Smith-Dennis
set06a-DTR08,set06a-F,DTR08,This is highly contextual,DTR08-4,"Mostly in Italian, but increasingly in English. Those who do not know either language well will resort to code-switching or to a simplified formof verbal interaction.",,set06a,Joseph M Brincat
set07-DTR08,set07-F,DTR08,The [q2o1answer] language,DTR08-1,,,set07,Admire Phiri
set08-DTR08,set08-F,DTR08,This is highly contextual,DTR08-4,Men who had trading partners in the other group traditionally were bilingual and used both languages equally. Today they use Tok Pisin or (increasingly) English. Women traditionally traded at market sites in silence and largely still do today.,,set08,Ross Bowden
set09-DTR08,set09-F,DTR08,The [q2o2answer] language,DTR08-2,,,set09,Lameen Souag
set10-DTR08,set10-F,DTR08,The [q2o2answer] language,DTR08-2,,,set10,Anonymous
set11-DTR08,set11-F,DTR08,Some other language,DTR08-3,"Probably Wolof, the most widely shared language with a raher neutral status, but it depends on the interlocutors' language profiles. French, Creole or Joola Fogny might be likely languages of interaction too.",,set11,Alexander Cobbinah
set12-DTR08,set12-F,DTR08,The [q2o2answer] language,DTR08-2,,,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set13-DTR08,set13-F,DTR08,The [q2o1answer] language,DTR08-1,Very few Ipili people can speak Hewa.,,set13,Jerry K. Jacka
set14-DTR08,set14-F,DTR08,The [q2o2answer] language,DTR08-2,,,set14,Ana María Ospina Bozzi
set15-DTR08,set15-F,DTR08,This is highly contextual,DTR08-4,"Many Marori villagers speak good Marind, but nowadays Papuan Malay is commonly used",,set15,Bruno Olsson
set16-DTR08,set16-F,DTR08,This is highly contextual,DTR08-4,"Elderly Chipaya men (roughly 50 or 60 years and older) may use Aymara, which is their first contact language. Chipaya men of the middle and younger generations are not equally familiar with Aymara and tend to use Spanish instead.",,set16,Katja Hannß
set17-DTR08,set17-F,DTR08,The [q2o2answer] language,DTR08-2,,,set17,Rosnátaly Avelino
set18-DTR08,set18-F,DTR08,This is highly contextual,DTR08-4,"Most likely Mawng, Kunbarlang or both (i.e. receptive multilingualism). But if they were not familiar with each other's languages then a Bininj Kunwok variety could have been used, or an interpreter.",,set18,Ruth Singer
set19-DTR08,set19-F,DTR08,This is highly contextual,DTR08-4,"This is contextual, in the past, but also today, if the Adang speaker knows Alorese, they may use Alorese, as many Adang can speak Alorese as L2 (see Moro 2019).  But, it could also be the case that the Alorese speaker knows some Adang because s/he has an Adang mother/father/wife/husband, so they may use Adang. Today they also have the possibility to speak Malay, so some speakers are shifting to Malay when trading, especially because in the marketplace now there are speakers from many different places (not only Alorese and Adang).",,set19,Francesca Moro & Yunus Sulistyono
set20-DTR08,set20-F,DTR08,This is highly contextual,DTR08-4,A mixed variety of Santali and Bengali.,,set20,Arun Ghosh
set21-DTR08,set21-F,DTR08,The [q2o2answer] language,DTR08-2,"in former times Kanuri, but today Hausa",,set21,Georg Ziegelmeyer
set22-DTR08,set22-F,DTR08,The [q2o2answer] language,DTR08-2,,,set22,Elizabeth Hall
set23-DTR08,set23-F,DTR08,This is highly contextual,DTR08-4,,,set23,Veronika Zikmundová & Kicengge (Chengzhi)
set24-DTR08,set24-F,DTR08,The [q2o2answer] language,DTR08-2,,,set24,Cristina Messineo & Paola Cúneo & Agustina Paredes & Nicolás Brid & Ana Blanco
set25-DTR08,set25-F,DTR08,This is highly contextual,DTR08-4,,,set25,María Belén Carpio & Marcela Mendoza
set27-DTR08,set27-F,DTR08,The [q2o2answer] language,DTR08-2,,,set27,Dineke Schokkin
set28-DTR08,set28-F,DTR08,?,,,,set28,Eri Kashima & Dineke Schokkin
set29-DTR08,set29-F,DTR08,This is highly contextual,DTR08-4,"I expect the patrilectal ideology would dominate still, but no doubt it would also be expected that multilingual strategies would come into play",,set29,Jill Vaughan
set30-DTR08,set30-F,DTR08,B,DTR08-B,,,set30,Richard Kowalik
set31-DTR08,set31-F,DTR08,The [q2o1answer] language,DTR08-1,Some Kannada-knowing Marathi women in Kupwar do exchange greetings and preliminary queries with the Kannada women in Kannada.,,set31,Sonal Kulkarni-Joshi
set32-DTR08,set32-F,DTR08,This is highly contextual,DTR08-4,"As for other facets of life in these communities, language choice in trade likely depended on factors such as individuals' language competence and spatial locations of individual trade events.",,set32,Hannah Haynie
set33-DTR08,set33-F,DTR08,This is highly contextual,DTR08-4,"Not known.  There were some trade languages in historic times (cf. Chinook Jargon), but we have no evidence from prehistoric times.  The Pacific Northwest Coast language area may be the result of extensive trading, as has been suggested by other linguists, or of extensive slavery, as I think probably must have happened.  The northernmost Pacific Northwest Coast has some hints of language area (Leer 1991).",,set33,Anna Berge
set34-DTR08,set34-F,DTR08,?,,,,set34,Erika Sandman
set01-DTR09,set01-F,DTR09,Some other language,DTR09-3,English,,set01,Hank Nater
set02-DTR09,set02-F,DTR09,The [q2o1answer] language,DTR09-1,,,set02,Mathias Jenny
set03-DTR09,set03-F,DTR09,This is highly contextual,DTR09-4,,,set03,Yvonne Treis & Deginet Wotango Doyiso
set04-DTR09,set04-F,DTR09,This is highly contextual,DTR09-4,Rangi or Swahili,,set04,Hannah Gibson & Maarten Mous
set05-DTR09,set05-F,DTR09,This is highly contextual,DTR09-4,Rotokas or Tok Pisin,,set05,Ellen Smith-Dennis
set06a-DTR09,set06a-F,DTR09,Some other language,DTR09-3,"Mostly Italian, but increasingly in English, especially among the young.",,set06a,Joseph M Brincat
set07-DTR09,set07-F,DTR09,The [q2o1answer] language,DTR09-1,,,set07,Admire Phiri
set08-DTR09,set08-F,DTR09,This is highly contextual,DTR09-4,Women none. Men used the language of their personal trading partners.,,set08,Ross Bowden
set09-DTR09,set09-F,DTR09,The [q2o2answer] language,DTR09-2,,,set09,Lameen Souag
set10-DTR09,set10-F,DTR09,The [q2o2answer] language,DTR09-2,,,set10,Anonymous
set11-DTR09,set11-F,DTR09,Some other language,DTR09-3,"Probably Wolof, the most widely shared language with a raher neutral status, but it depends on the interlocutors' language profiles. French, Creole or Joola Fogny might be likely languages of interaction too.",,set11,Alexander Cobbinah
set12-DTR09,set12-F,DTR09,The [q2o2answer] language,DTR09-2,,,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set13-DTR09,set13-F,DTR09,The [q2o1answer] language,DTR09-1,The [q2o1answer] language,,set13,Jerry K. Jacka
set14-DTR09,set14-F,DTR09,The [q2o2answer] language,DTR09-2,,,set14,Ana María Ospina Bozzi
set15-DTR09,set15-F,DTR09,This is highly contextual,DTR09-4,Marind or Papuan Malay,,set15,Bruno Olsson
set16-DTR09,set16-F,DTR09,This is highly contextual,DTR09-4,"What I describe in my answer to question (24) also applies to the Aymara people. That is, when talking to an elderly Chipaya men, an Aymara person may be able to use his/her native language, while when talking to someone from the younger generation, the chosen language would rather be Spanish.",,set16,Katja Hannß
set17-DTR09,set17-F,DTR09,The [q2o2answer] language,DTR09-2,,,set17,Rosnátaly Avelino
set18-DTR09,set18-F,DTR09,This is highly contextual,DTR09-4,"Most likely Mawng, Kunbarlang or both (i.e. receptive multilingualism). But if they were not familiar with each other's languages then a Bininj Kunwok variety could have been used, or an interpreter.",,set18,Ruth Singer
set19-DTR09,set19-F,DTR09,This is highly contextual,DTR09-4,"This is contextual, in the past, but also today, if the Adang speaker knows Alorese, they may use Alorese, as many Adang can speak Alorese as L2 (see Moro 2019). Today they also have the possibility to speak Malay, so some speakers are shifting to Malay when trading, especially because in the marketplace there are speakers from many different places (not only Alorese and Adang).",,set19,Francesca Moro & Yunus Sulistyono
set20-DTR09,set20-F,DTR09,This is highly contextual,DTR09-4,A mixed variety of Bengali and Santali.,,set20,Arun Ghosh
set21-DTR09,set21-F,DTR09,The [q2o2answer] language,DTR09-2,,,set21,Georg Ziegelmeyer
set22-DTR09,set22-F,DTR09,The [q2o2answer] language,DTR09-2,,,set22,Elizabeth Hall
set23-DTR09,set23-F,DTR09,This is highly contextual,DTR09-4,,,set23,Veronika Zikmundová & Kicengge (Chengzhi)
set24-DTR09,set24-F,DTR09,The [q2o2answer] language,DTR09-2,,,set24,Cristina Messineo & Paola Cúneo & Agustina Paredes & Nicolás Brid & Ana Blanco
set25-DTR09,set25-F,DTR09,This is highly contextual,DTR09-4,,,set25,María Belén Carpio & Marcela Mendoza
set27-DTR09,set27-F,DTR09,The [q2o2answer] language,DTR09-2,,,set27,Dineke Schokkin
set28-DTR09,set28-F,DTR09,?,,,,set28,Eri Kashima & Dineke Schokkin
set29-DTR09,set29-F,DTR09,This is highly contextual,DTR09-4,"As in earlier domains – I would expect that a wide range of multilingual strategies characteristic of small-scale multilingual settings would be drawn on, influenced by a range of local social goals",,set29,Jill Vaughan
set30-DTR09,set30-F,DTR09,B,DTR09-B,,,set30,Richard Kowalik
set31-DTR09,set31-F,DTR09,The [q2o1answer] language,DTR09-1,,,set31,Sonal Kulkarni-Joshi
set32-DTR09,set32-F,DTR09,B,DTR09-B,"As for other facets of life in these communities, language choice in trade likely depended on factors such as individuals' language competence and spatial locations of individual trade events.",,set32,Hannah Haynie
set33-DTR09,set33-F,DTR09,This is highly contextual,DTR09-4,"Unclear, I don't know.",,set33,Anna Berge
set34-DTR09,set34-F,DTR09,?,,,,set34,Erika Sandman
set01-DTR0a,set01-F,DTR0a,,,,,set01,Hank Nater
set02-DTR0a,set02-F,DTR0a,"probably since the 10th century, perhaps even earlier",,,,set02,Mathias Jenny
set03-DTR0a,set03-F,DTR0a,Probably since they live beside each other,,,,set03,Yvonne Treis & Deginet Wotango Doyiso
set04-DTR0a,set04-F,DTR0a,The last 100 years.,,,,set04,Hannah Gibson & Maarten Mous
set05-DTR0a,set05-F,DTR0a,"Since no earlier than the mid/late-19th century, when Papapana speakers settled in their contemporary location",,,,set05,Ellen Smith-Dennis
set06a-DTR0a,set06a-F,DTR0a,"Since prehistory, but interaction with the presently used languages started around the year 1200 AD.

The densest period of time for contact between Malta and Sicily was from 1050 to around 1550, because political, social and economic ties were practically exclusive. From 1550 onwards such contacts with Italy increased, and ties with the UK began in 1800 but became strong from about 1850 and are strongest today. However, statistics and testimonies for the Sicilian period are scarce, with the result that most of my responses to the questionnaire concern the present time period (roughly the last decades) when contact with Sicily is still ongoing, albeit in a much wider international framework. As regards language, contact with Sicilian died out with the coming of the Knights of St John who introduced Italian, both as an official and a spoken language for the educated classes. Moreover, today the Sicilian dialect is never spoken with foreigners by the Sicilians themselves.",,,,set06a,Joseph M Brincat
set07-DTR0a,set07-F,DTR0a,"The Ndebele and Tjwao have been trading for a very long period of time i.e., since their first contact. They will trade with game meat, animal skins, wild fruits, etc.",,,,set07,Admire Phiri
set08-DTR0a,set08-F,DTR0a,Two centuries,,,,set08,Ross Bowden
set09-DTR0a,set09-F,DTR0a,"800 years or so (ie, ever since Korandje emerged as a separate language); longer if you count contacts between proto-Northern Songhay and Arabic.",,,,set09,Lameen Souag
set10-DTR0a,set10-F,DTR0a,At least 200 years.,,,,set10,Anonymous
set11-DTR0a,set11-F,DTR0a,"Cultural and linguistic contact between Bainounk and Mandinka groups is probbaly as old as the arrival of Mandinka in the Casamance, i.e. at least 5 or 6 centuries. It is a different question how current definitions of ethnicity correspond to historical definitons of ethnicity",,The problem with the time depth is that it is not clear for how long Gubeeher has been an ethnic category. Certain Bainounk groups in the past definitely had quite intense contact with Mandinka language and culture but it is impossible to establish any continuity between historical and contemporary groups. I think it is possible that the current ethnic groups in Western Lower Casamance are actually based on resistance to Mandinka encroachment. I wouldn’t have enough historical knowledge on more ancient history to elaborate on Bainounk-Mandinka relations in the early colonial period.,,set11,Alexander Cobbinah
set12-DTR0a,set12-F,DTR0a,See KN2 [QID: DKN0a],,,,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set13-DTR0a,set13-F,DTR0a,"Minimally, a couple of centuries. The Hewa figure prominently in many of the myths of the Ipili associated with becoming ""cultured."" What I mean by this, is that the discovery of agriculture and the invention of society is often posited as a movement away from the Hewa up the Porgera valley where an Ipili ancestress begins to grow food, find a spouse, and raise children. Given that the Hewa feature in the Ipili origin stories, I would assume that there's been really long term contact (millennia?, but at least several centuries).",,"Minimally, a couple of centuries. The Hewa figure prominently in many of the myths of the Ipili associated with becoming ""cultured."" What I mean by this, is that the discovery of agriculture and the invention of society is often posited as a movement away from the Hewa up the Porgera valley where an Ipili ancestress begins to grow food, find a spouse, and raise children. Given that the Hewa feature in the Ipili origin stories, I would assume that there's been really long term contact (millennia?, but at least several centuries).",,set13,Jerry K. Jacka
set14-DTR0a,set14-F,DTR0a,1950-2020,,,,set14,Ana María Ospina Bozzi
set15-DTR0a,set15-F,DTR0a,500-1000 yrs,,"The languages have probably been in contact since Marind-speaking groups arrived in the area (where Marori-speaking people were already present). This happened at an unknown point in pre-colonial times, but given the separation between the Marindic subgroups I'd guess a few hundred years ago. Not known if they traded during this time, but I'm guessing they did.",,set15,Bruno Olsson
set16-DTR0a,set16-F,DTR0a,Possibly from 600 AD onward,,"This is, for a number of reasons, a difficult question for the Central Andes. For one, there are certain theories that deny that institutions like markets even existed in the ancient Central Andes with commodities exchanged within communities/societies rather than ""traded"". Long-distance trade relations usually were important mostly to get exotic valuables for local elites. But even if we accept that the notion of ""trade"" is relevant for prehistory, the answer strongly depends on whose point of view one adopts. Alfredo Torero has maintained that Aymara served as a trade language during the Middle Horizon, when the Wari and Tiwanaku cultures flourished (the latter being altiplano-based), though the implied  association of Aymara is more with Wari than with Tiwanaku. This is not a commonly accepted theory however. If there is some truth to it, then we could say that commercial interactions involving Aymara speech might have started as early as 600 AD already. At least this would give a broad terminus post quem for such contacts. Commercial interactions might have started only significantly later, after the arrival of Aymara on the altiplano and only 1000 AD reached signficant intensities still later",,set16,Katja Hannß
set17-DTR0a,set17-F,DTR0a,"Since the end of the 19th century.
In Toluca, there are three different languages that are Mexican, Otomí, and Matlatzinca. Its speakers live by farming and bringing carved wood to Mexico City (García Pimentel 1897: 114 apud Lastra 2010: 150).",,,,set17,Rosnátaly Avelino
set18-DTR0a,set18-F,DTR0a,"For at least the last few hundred years, more likely a thousand years.",,,,set18,Ruth Singer
set19-DTR0a,set19-F,DTR0a,"Trade between the Alorese and the Adang started in the 16th century when the Alorese arrived on the coast of Alor Island , so it means they have been trading for about 500 years. Social contact in this domain is still ongoing today.",,,,set19,Francesca Moro & Yunus Sulistyono
set20-DTR0a,set20-F,DTR0a,For the last 60-70 years or even before.,,"Before dispersal in different places the Santali people were hunter-gatherers and through the means of forest produce, they used to earn their living. When they were not distributed in contiguous areas of the neighboring communities like Bengali, they used to travel miles away from the place of their concentration to sell forest produce and woods in the weekly markets. In earlier days when the money economy did not infiltrate in their society, they used to depend on barter system. In the process they used to collect salt and occasionally oil in exchange of woods and forest produce.",,set20,Arun Ghosh
set21-DTR0a,set21-F,DTR0a,Approx. 1000 years,,,,set21,Georg Ziegelmeyer
set22-DTR0a,set22-F,DTR0a,Probably quite a long time- greater than 100 years.,,"They have lived near each other for probably a few hundred years. My informant's mother (age 65) says that from the earliest time she remembers, it was normal that Tai Lue people would come into the village to trade, and it was not a new thing when she was young. Although I believe trade between them to be much older than that I cannot say just how old.",,set22,Elizabeth Hall
set23-DTR0a,set23-F,DTR0a,"1764-present (ca.250 years)
Trade is still ongoing.",,,,set23,Veronika Zikmundová & Kicengge (Chengzhi)
set24-DTR0a,set24-F,DTR0a,"Since the late 19th century.
Our sources indicate that there has been trade since the arrival of the Spaniards in the Gran Chaco.
Contact is ongoing today.",,"Given that it was impossible for them to continue with their traditional livelihood practices, the indigenous had to develop commercial agriculture and seasonal waged work. (Gordillo 2006)",,set24,Cristina Messineo & Paola Cúneo & Agustina Paredes & Nicolás Brid & Ana Blanco
set25-DTR0a,set25-F,DTR0a,"Since they first met in the region. As we only have information from the 20th Century, we are focusing on this period.",,,,set25,María Belén Carpio & Marcela Mendoza
set27-DTR0a,set27-F,DTR0a,"Since the early 20th century (most likely for longer than that, but using a receptive multilingual mode of communication before the inception of Tok Pisin).",,,,set27,Dineke Schokkin
set28-DTR0a,set28-F,DTR0a,?,,,,set28,Eri Kashima & Dineke Schokkin
set29-DTR0a,set29-F,DTR0a,At least several hundred years. Again – contact between the groups is spoken about as if it has always been the case. It would appear that it has been happening for hundreds of years before the colonial era in any case and possibly very much longer.,,,,set29,Jill Vaughan
set30-DTR0a,set30-F,DTR0a,Presumably since the early Middle Ages (cf. e.g. Zachrisson 2012).,,,,set30,Richard Kowalik
set31-DTR0a,set31-F,DTR0a,For about six centuries.,,,,set31,Sonal Kulkarni-Joshi
set32-DTR0a,set32-F,DTR0a,Trade between these groups predates historical documentation.,,,,set32,Hannah Haynie
set33-DTR0a,set33-F,DTR0a,"Trade between the Aleut and the Eyak likely occurred over an extended period, presumably over 1000 years, if the period of direct contact was prior to 1500 BP, and there was enough contact for shared linguistic features, and less direct trade continued after the arrival of the intervening Alutiiq Eskimos...",,,,set33,Anna Berge
set34-DTR0a,set34-F,DTR0a,?,,,,set34,Erika Sandman
set01-DTR0aN0,set01-F,DTR0aN0,1520,,,,set01,Hank Nater
set01-DTR0aN1,set01-F,DTR0aN1,2020,,,,set01,Hank Nater
set02-DTR0aN0,set02-F,DTR0aN0,1000,,,,set02,Mathias Jenny
set02-DTR0aN1,set02-F,DTR0aN1,2020,,,,set02,Mathias Jenny
set03-DTR0aN0,set03-F,DTR0aN0,1850,,,,set03,Yvonne Treis & Deginet Wotango Doyiso
set03-DTR0aN1,set03-F,DTR0aN1,2020,,,,set03,Yvonne Treis & Deginet Wotango Doyiso
set04-DTR0aN0,set04-F,DTR0aN0,1920,,,,set04,Hannah Gibson & Maarten Mous
set04-DTR0aN1,set04-F,DTR0aN1,2020,,,,set04,Hannah Gibson & Maarten Mous
set05-DTR0aN0,set05-F,DTR0aN0,1880,,,,set05,Ellen Smith-Dennis
set05-DTR0aN1,set05-F,DTR0aN1,1915,,,,set05,Ellen Smith-Dennis
set06a-DTR0aN0,set06a-F,DTR0aN0,1000,,,,set06a,Joseph M Brincat
set06a-DTR0aN1,set06a-F,DTR0aN1,2020,,,,set06a,Joseph M Brincat
set07-DTR0aN0,set07-F,DTR0aN0,1839,,,,set07,Admire Phiri
set07-DTR0aN1,set07-F,DTR0aN1,2020,,,,set07,Admire Phiri
set08-DTR0aN0,set08-F,DTR0aN0,1820,,,,set08,Ross Bowden
set08-DTR0aN1,set08-F,DTR0aN1,2020,,,,set08,Ross Bowden
set09-DTR0aN0,set09-F,DTR0aN0,1200,,,,set09,Lameen Souag
set09-DTR0aN1,set09-F,DTR0aN1,2020,,,,set09,Lameen Souag
set10-DTR0aN0,set10-F,DTR0aN0,1800,,,,set10,Anonymous
set10-DTR0aN1,set10-F,DTR0aN1,2020,,,,set10,Anonymous
set11-DTR0aN0,set11-F,DTR0aN0,1500,,,,set11,Alexander Cobbinah
set11-DTR0aN1,set11-F,DTR0aN1,2020,,,,set11,Alexander Cobbinah
set12-DTR0aN0,set12-F,DTR0aN0,1000,,,,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set12-DTR0aN1,set12-F,DTR0aN1,2020,,,,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set13-DTR0aN0,set13-F,DTR0aN0,1520,,,,set13,Jerry K. Jacka
set13-DTR0aN1,set13-F,DTR0aN1,2020,,,,set13,Jerry K. Jacka
set14-DTR0aN0,set14-F,DTR0aN0,1950,,,,set14,Ana María Ospina Bozzi
set14-DTR0aN1,set14-F,DTR0aN1,2020,,,,set14,Ana María Ospina Bozzi
set15-DTR0aN0,set15-F,DTR0aN0,1020,,,,set15,Bruno Olsson
set15-DTR0aN1,set15-F,DTR0aN1,2020,,,,set15,Bruno Olsson
set16-DTR0aN0,set16-F,DTR0aN0,1000,,,,set16,Katja Hannß
set16-DTR0aN1,set16-F,DTR0aN1,2020,,,,set16,Katja Hannß
set17-DTR0aN0,set17-F,DTR0aN0,1880,,,,set17,Rosnátaly Avelino
set17-DTR0aN1,set17-F,DTR0aN1,2020,,,,set17,Rosnátaly Avelino
set18-DTR0aN0,set18-F,DTR0aN0,1600,,,,set18,Ruth Singer
set18-DTR0aN1,set18-F,DTR0aN1,2020,,,,set18,Ruth Singer
set19-DTR0aN0,set19-F,DTR0aN0,1550,,,,set19,Francesca Moro & Yunus Sulistyono
set19-DTR0aN1,set19-F,DTR0aN1,2020,,,,set19,Francesca Moro & Yunus Sulistyono
set20-DTR0aN0,set20-F,DTR0aN0,1950,,,,set20,Arun Ghosh
set20-DTR0aN1,set20-F,DTR0aN1,2020,,,,set20,Arun Ghosh
set21-DTR0aN0,set21-F,DTR0aN0,1000,,,,set21,Georg Ziegelmeyer
set21-DTR0aN1,set21-F,DTR0aN1,2020,,,,set21,Georg Ziegelmeyer
set22-DTR0aN0,set22-F,DTR0aN0,1900,,,,set22,Elizabeth Hall
set22-DTR0aN1,set22-F,DTR0aN1,2020,,,,set22,Elizabeth Hall
set23-DTR0aN0,set23-F,DTR0aN0,1764,,,,set23,Veronika Zikmundová & Kicengge (Chengzhi)
